premise,question,choice1,choice2,label
My body cast a shadow over the grass.,cause,The sun was rising.,The grass was cut.,0
The woman tolerated her friend's difficult behavior.,cause,The woman knew her friend was going through a hard time.,The woman felt that her friend took advantage of her kindness.,0
The women met for coffee.,cause,The cafe reopened in a new location.,They wanted to catch up with each other.,1
The runner wore shorts.,cause,The forecast predicted high temperatures.,She planned to run along the beach.,0
The guests of the party hid behind the couch.,cause,It was a surprise party.,It was a birthday party.,0
The politician lost the election.,cause,He ran negative campaign ads.,No one voted for him.,1
The stain came out of the shirt.,cause,I patched the shirt.,I bleached the shirt.,1
The man got a discount on his groceries.,cause,He greeted the cashier.,He used a coupon.,1
The physician misdiagnosed the patient.,effect,The patient filed a malpractice lawsuit against the physician.,The patient disclosed confidential information to the physician.,0
The customer filed a complaint with the store manager.,cause,The sales associate undercharged the customer.,The sales associate acted rude to the customer.,1
The woman repaired her faucet.,cause,The faucet was leaky.,The faucet was turned off.,0
The elderly woman suffered a stroke.,effect,The woman's daughter came over to clean her house.,The woman's daughter moved in to take care of her.,1
The pond froze over for the winter.,effect,People skated on the pond.,People brought boats to the pond.,0
The offender violated parole.,effect,She was sent back to jail.,She stole money from a church.,0
I poured water on my sleeping friend.,effect,My friend awoke.,My friend snored.,0
The girl gasped.,cause,Her friend stuck an ice cube down her back.,Her friend gave her a pat on the back.,0
The shirt shrunk.,cause,I poured bleach on it.,I put it in the dryer.,1
It got dark outside.,effect,Snowflakes began to fall from the sky.,The moon became visible in the sky.,1
I hung up the phone.,cause,The caller said goodbye to me.,The caller identified himself to me.,0
The woman's ring slipped off in the shower.,effect,The woman polished the ring.,The ring went down the drain.,1
The girl received a trophy.,cause,She won a spelling bee.,She made a new friend.,0
The woman's date wanted to look like a gentleman.,effect,He opened the door for her.,He asked her if she liked sushi.,0
The farmland needed irrigation.,effect,A canal was constructed.,A flood occurred.,0
The host cancelled the party.,cause,She was certain she had the flu.,She worried she would catch the flu.,0
The woman gave the man her phone number.,cause,She was attracted to him.,She was repulsed by him.,0
The skydiver glided safely to the ground.,cause,She opened her parachute.,She jumped out of the plane.,0
The toddler became cranky.,effect,Her mother put her down for a nap.,Her mother fixed her hair into pigtails.,0
The child became immune to the disease.,cause,He avoided exposure to the disease.,He received the vaccine for the disease.,1
The grape juice fermented.,effect,The juice turned to wine.,The juice evaporated.,0
The friends' debate dragged on interminably.,cause,The friends saw eye to eye.,The friends were splitting hairs.,1
The woman hummed to herself.,cause,She was nervous.,She was in a good mood.,1
The man hated his new haircut.,effect,He wore a hat.,He grew a beard.,0
The police aimed their weapons at the fugitive.,effect,The fugitive fell to the ground.,The fugitive dropped his gun.,1
The patient was dehydrated.,effect,The nurse tested his reflexes.,The nurse gave him an IV.,1
The girl found the missing puzzle piece.,effect,She completed the puzzle.,She took apart the puzzle.,0
The man urgently leaped out of bed.,cause,He wanted to shut off the alarm clock.,He wanted to iron his pants before work.,0
The papers were disorganized.,effect,I made photocopies of them.,I put them into alphabetical order.,1
The woman won the lottery.,effect,She bought a yacht.,She joined a church.,0
The seamstress pushed the threaded needle into the fabric.,effect,The thread wrapped around the needle.,The thread went through the fabric.,1
The woman hired a lawyer.,cause,She decided to sue her employer.,She decided to run for office.,0
The tenant misplaced his keys to his apartment.,effect,His landlord unlocked the door.,His landlord repaired the door.,0
My favorite song came on the radio.,effect,I covered my ears.,I sang along to it.,1
The executive decided not to hire the applicant.,cause,The applicant failed a background check.,The applicant had experience for the job.,0
The man's eye became infected.,effect,He went blind.,He put on glasses.,0
The bird couldn't fly.,cause,It migrated for the winter.,It injured its wing.,1
The girl made a wish.,cause,She saw a black cat.,She saw a shooting star.,1
The woman shivered as she got out the pool.,effect,She wrapped herself in a towel.,She poured herself some lemonade.,0
The nurse prepared the needle for the patient's injection.,effect,The patient bled.,The patient tensed up.,1
The man threw out the bread.,cause,It was fresh.,It was stale.,1
The children knocked over a lamp.,cause,They had a pillow fight.,They jumped on the bed.,0
I drank from the water fountain.,cause,I was thirsty.,I felt nauseous.,0
The homeowners disliked their nosy neighbors.,effect,They built a fence around their property.,They hosted a barbeque in their backyard.,0
The bodybuilder lifted weights.,effect,The gym closed.,Her muscles became fatigued.,1
The cook stirred the ingredients in the bowl.,effect,The ingredients melted.,The ingredients blended together.,1
The man signed the document.,effect,The transaction was voided.,The transaction became official.,1
The police officer dropped the gun.,effect,The gun recoiled.,The gun went off.,1
The woman felt compelled to help someone in need.,effect,She donated blood.,She wrote a poem.,0
The woman felt lonely.,effect,She renovated her kitchen.,She adopted a cat.,1
I rubbed sandpaper on the wood.,effect,The wood became smooth.,The wood became sticky.,0
The crowd gave the band a standing ovation.,effect,The band signed autographs.,The band reappeared on the stage.,1
The man threw his empty can onto the street.,effect,He was jumped from behind.,He was fined for littering.,1
My stomach growled.,cause,I forgot to eat breakfast.,I was full from breakfast.,0
The boaters set off a flare.,effect,Their boat drifted to shore.,Their boat was rescued.,1
The man removed his coat.,cause,He entered the house.,He loosened his tie.,0
The family took their dog to the veterinarian.,cause,The dog chewed on a bone.,The dog injured his paw.,1
The woman dangled the biscuit above the dog.,effect,The dog jumped up.,The dog scratched its fur.,0
I learned how to play the board game.,cause,My friend explained the rules to me.,My friend got the rules wrong.,0
The man went away for the weekend.,cause,He wanted to relax.,He felt content.,0
The shop was closed.,cause,The owner was helping customers.,The shop was undergoing renovation.,1
The boy tuned the radio.,cause,The station was playing rock music.,The station was coming in with static.,1
The terrorist set off the bomb.,effect,The bomb exploded.,The bomb was deactivated.,0
The police handcuffed the suspect.,cause,The police called for backup.,The suspect resisted arrest.,1
The authorities vowed to protect the identity of the crime victim.,effect,The victim struggled to recall details about the crime.,They withheld the victim's name from the public.,1
The man's clothes fit loosely.,cause,He bought them on sale.,He lost weight.,1
